id,language,review,created,voted_up,votes_up,comment_count,steam_purchase,recieved_for_free,written_during_early_access,author.num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
133848242,english,"Pretty good game all around.
Great game! I would recommend 10 and up because there is some blood but if you don't mind a splatter or two then you should be good.",2023-03-01 09:17:12,True,0,0,True,True,False,8,1,44277,1075,44277,2023-03-01 09:04:32
133848123,english,"haha smiriva me
",2023-03-01 09:13:21,True,0,0,False,False,False,1,1,2169,2169,2169,2023-03-01 09:16:29
133848052,english,full of cheaterts roblox has better anti cheat,2023-03-01 09:11:10,False,0,0,True,False,False,18,3,15619,1976,15603,2023-03-01 09:15:00
133847297,english,"Good game, kinda racist but good.",2023-03-01 08:45:24,True,0,0,True,False,False,10,1,14826,2452,14826,2023-02-27 21:09:37
133847187,english,mrazq rusnacite ama ovr stava,2023-03-01 08:41:36,True,0,0,True,False,False,10,1,5045,400,4984,2023-03-01 09:30:07
133846938,english,god,2023-03-01 08:31:43,True,0,0,True,False,False,27,2,86654,32,86622,2023-03-01 09:03:58
133846909,english,Rush B I guess... Nah but seriously it's fun to play,2023-03-01 08:30:47,True,0,0,False,False,False,14,2,1577,192,1549,2023-03-01 09:14:23
133846748,english,nice,2023-03-01 08:24:50,True,0,0,True,False,False,1,1,77,0,77,2017-01-16 14:32:35
133846639,english,nicee,2023-03-01 08:21:30,True,0,0,False,False,False,1,1,8011,0,8011,2022-06-21 14:46:34
133846480,english,"VERY GOOD WOW
All my frend play counter go",2023-03-01 08:16:35,True,0,0,True,False,False,1,1,62,62,10,2023-03-01 09:30:15
133846446,english,nicee,2023-03-01 08:15:28,True,0,0,False,False,False,2,1,31998,0,31998,2022-10-29 19:51:37
133846434,english,"game nhu con cac, cam on.",2023-03-01 08:15:09,False,0,0,True,False,False,1,1,16388,1632,16385,2023-03-01 08:17:52
133846413,english,good,2023-03-01 08:14:31,True,0,0,True,False,False,2,1,17064,2630,17064,2023-02-28 19:09:46
133846384,english,"this game honestly is the only game i play now days and there are hackers but not everyone you thing is a hacker,is a hacker so al in all id say its worth it to download it",2023-03-01 08:13:34,True,0,0,False,True,False,1,1,12254,1610,12237,2023-03-01 08:19:34
133846229,english,nice,2023-03-01 08:07:47,True,0,0,True,False,False,3,1,21420,0,21420,2018-03-17 00:17:50
133845982,english,"Sraka. 
Liga better>>>>>





Jebac rosyjskich graczy",2023-03-01 07:58:23,True,0,0,False,False,False,7,1,8836,14,8836,2023-02-15 13:04:25
133845954,english,w,2023-03-01 07:57:35,True,0,0,False,False,False,21,4,349,11,338,2023-03-01 08:00:04
133845676,english,Shits gas.,2023-03-01 07:48:23,True,0,0,True,False,False,10,1,2025,82,1942,2023-03-01 09:27:54
133845647,english,kewl game sometimes,2023-03-01 07:47:28,True,0,0,True,False,False,5,1,22521,3723,22478,2023-03-01 08:37:15
133845305,english,"good game
",2023-03-01 07:34:48,True,0,0,False,False,False,3,2,5369,52,5316,2023-03-01 08:26:42
133845160,english,Chill,2023-03-01 07:29:55,True,0,0,False,False,False,0,1,38173,2821,38173,2023-02-28 21:15:38
133845037,english,"Wanna die? Please play this game, it will help the process to go much faster!",2023-03-01 07:25:31,True,0,0,True,False,False,41,1,93458,2765,93458,2023-02-28 08:39:30
133845002,english,laawde ka game hai puri community hi hacker hai pro bhi sab hacker hai,2023-03-01 07:24:10,True,0,0,False,False,False,2,1,56698,1169,56698,2023-02-23 21:19:45
133844974,english,see ess gough,2023-03-01 07:23:21,True,0,0,True,False,False,50,7,76371,181,76340,2023-03-01 07:54:18
133844809,english,"Very goooode game
",2023-03-01 07:18:16,True,0,0,True,False,False,29,1,10628,1312,10628,2023-02-28 18:04:24
133844487,english,guns haha,2023-03-01 07:07:10,True,0,0,True,False,False,74,39,902,614,772,2023-03-01 09:20:50
133844457,english,only blyat,2023-03-01 07:06:18,False,0,0,True,False,False,2,1,30191,1170,30191,2023-03-01 07:04:27
133844456,english,I LOVE GAMBLING!!!!,2023-03-01 07:06:16,True,0,0,False,False,False,48,14,1092,67,1026,2023-03-01 08:23:52
133844271,english,HI,2023-03-01 06:59:59,True,0,0,False,False,False,18,1,3604,38,3604,2023-03-01 06:59:47
133843904,english,Very good game but russians can get a bit annoying,2023-03-01 06:48:35,True,0,0,True,False,False,9,1,4345,1067,4345,2023-02-28 19:11:13
133843712,english,gg,2023-03-01 06:41:41,True,0,0,False,False,False,42,3,172521,1002,172521,2023-02-28 15:38:38
133843607,english,Very good game. Might wanna kms but it’s oky👍🏻,2023-03-01 06:38:05,True,0,0,True,False,False,2,1,1377,1377,1377,2023-02-28 21:40:29
133843345,english,gambling,2023-03-01 06:30:01,True,1,0,True,False,False,25,1,12816,2284,12779,2023-03-01 07:36:19
133843302,english,"I thought this was a course on russian
it wasnt but i still learned russian",2023-03-01 06:28:20,True,0,0,False,False,False,45,34,366,32,349,2023-03-01 06:44:38
133842922,english,Pavlov is better though,2023-03-01 06:15:30,True,0,0,True,False,False,419,20,1228,81,1146,2023-03-01 07:35:50
133842874,english,call of duty very naise,2023-03-01 06:13:55,True,0,0,True,False,False,1,1,2125,1270,2098,2023-03-01 06:18:43
133842831,english,i like this game,2023-03-01 06:12:33,True,0,0,True,False,False,5,4,26004,2635,25943,2023-03-01 09:07:30
133842700,english,great game,2023-03-01 06:07:54,True,0,0,True,True,False,1,1,2244,2244,2121,2023-03-01 09:24:43
133842542,english,your next case may be worth millions!! Keep going!,2023-03-01 06:02:23,True,0,0,False,False,False,70,18,44193,3531,44193,2023-03-01 06:01:11
133842506,english,g,2023-03-01 06:00:57,True,1,0,False,False,False,1,1,9549,777,9492,2023-03-01 06:14:48
133841993,english,this game is crack,2023-03-01 05:43:53,True,0,0,False,False,False,213,6,4163,1049,3988,2023-03-01 07:32:00
133841931,english,the ai gets to prefire and sit in corners,2023-03-01 05:42:03,False,0,0,False,False,False,4,2,589,255,589,2023-03-01 05:40:59
133841818,english,"I think this game is not particularly friendly except for the server. It is a typical escape game. Generally speaking, it is OK. I recommend playing it.",2023-03-01 05:38:31,True,0,0,True,False,False,55,2,12135,2475,12076,2023-03-01 07:36:01
133841813,english,yo this shit aids,2023-03-01 05:38:20,True,0,0,False,False,False,76,7,1994,468,1924,2023-03-01 06:51:04
133841473,english,love it,2023-03-01 05:27:42,True,0,0,True,True,False,1,1,4133,2710,3862,2023-03-01 09:29:43
133841404,english,coyetrte streiwk,2023-03-01 05:25:35,True,0,0,True,False,False,53,12,8389,678,8389,2023-03-01 04:40:26
133841035,english,"sinep, say it backwards
",2023-03-01 05:14:11,True,0,0,False,False,False,7,3,208,15,208,2023-03-01 05:10:42
133840638,english,yes,2023-03-01 05:02:14,True,0,0,False,False,False,18,1,3142,100,3042,2023-03-01 06:47:59
133840630,english, i like balls,2023-03-01 05:01:59,True,0,0,False,False,False,31,3,52105,7723,52105,2023-03-01 02:40:51
133840546,english,The game started banning me for saying the nigger word bad game,2023-03-01 04:59:12,False,0,0,True,False,False,85,3,95983,267,95983,2023-03-01 04:57:57
133840539,english,its an ok game tho alot of cheaters,2023-03-01 04:58:58,True,0,0,True,False,False,1,1,650,650,423,2023-03-01 09:16:54
133840482,english,"yes
",2023-03-01 04:57:18,True,0,0,False,False,False,16,3,641,495,395,2023-03-01 09:05:18
133840105,english,"do i really have to explain
",2023-03-01 04:47:23,False,0,0,True,False,False,42,5,3497,223,3492,2023-03-01 04:51:40
133839734,english,),2023-03-01 04:36:36,True,0,0,False,False,False,2,1,21828,5980,21791,2023-03-01 08:59:34
133839634,english,i am bad,2023-03-01 04:33:46,False,0,0,True,False,False,27,8,20271,587,20188,2023-03-01 05:56:45
133839430,english,Played Counter-Strike for the first time over 20 years ago. Still great.,2023-03-01 04:28:14,True,0,0,True,False,False,29,2,1352,97,1290,2023-03-01 05:29:01
133839407,english,fun gam,2023-03-01 04:27:39,True,0,0,True,False,False,129,31,37551,0,37551,2022-04-29 00:26:33
133839245,english,Autos are for Incels,2023-03-01 04:23:04,False,0,0,True,False,False,178,6,8202,78,8202,2023-03-01 04:22:23
133838977,english,im racist,2023-03-01 04:15:45,True,2,0,False,False,False,21,8,2382,151,2382,2023-02-28 00:27:24
133838905,english,"good
",2023-03-01 04:13:47,True,0,0,True,False,False,29,2,15162,1271,15119,2023-03-01 04:55:55
133838779,english,Actually a really good game if you practice long and hard enough,2023-03-01 04:10:45,True,0,0,True,False,False,9,2,3097,132,3017,2023-03-01 05:29:11
133838751,english,Russian good blyat.,2023-03-01 04:10:00,True,0,0,True,False,False,4,1,34073,1282,34073,2023-03-01 01:28:10
